no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/17,09:30:00,6,21.4,17.4
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,3.0,1,2021/1/17,10:00:00,6,22.0,17.5
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,3.0,1,2021/1/17,10:30:00,6,22.3,16.9
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/17,11:00:00,6,25.3,14.4
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/17,11:30:00,6,25.8,13.8
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/17,12:00:00,6,26.3,13.3
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/17,14:30:00,6,27.3,11.6
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/17,15:00:00,6,25.5,13.8
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/17,15:30:00,6,25.3,14.2
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/17,16:00:00,6,25.4,14.4
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,2.0,1,1.0,1,2021/1/17,16:30:00,6,25.3,14.3
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/17,17:00:00,6,25.2,14.6
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/17,17:30:00,6,24.9,14.7
44,1,23,181.0,76.0,23.2,1.24,1,1,0,0.0,1,3.0,1,2021/1/17,09:00:00,6,20.9,15.7
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,09:30:00,6,21.4,17.4
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,10:00:00,6,22.0,17.5
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,10:30:00,6,22.3,16.9
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,11:00:00,6,25.3,14.4
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,11:30:00,6,25.8,13.8
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,12:00:00,6,26.3,13.3
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,14:30:00,6,27.3,11.6
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,15:00:00,6,25.5,13.8
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,15:30:00,6,25.3,14.2
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,16:00:00,6,25.4,14.4
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,16:30:00,6,25.3,14.3
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,17:00:00,6,25.2,14.6
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/17,17:30:00,6,24.9,14.7
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,09:00:00,5,21.9,11.8
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,09:30:00,5,22.5,13.2
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,1.0,1,2021/1/17,10:00:00,5,22.8,14.1
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,10:30:00,5,23.1,14.7
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,11:00:00,5,24.1,14.1
46,1,22,179.0,77.0,24.03,0.89,0,0,1,2.0,1,2.0,1,2021/1/17,11:30:00,5,24.6,14.1
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,12:00:00,5,25.0,13.9
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,14:30:00,5,25.8,13.3
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,15:00:00,5,25.4,14.3
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,1.0,1,2021/1/17,15:30:00,5,25.2,14.9
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,16:00:00,5,25.2,15.3
46,1,22,179.0,77.0,24.03,0.89,0,0,1,1.0,1,2.0,1,2021/1/17,16:30:00,5,25.1,15.7
46,1,22,179.0,77.0,24.03,0.89,0,0,1,2.0,1,2.0,1,2021/1/17,17:00:00,5,25.1,16.1
46,1,22,179.0,77.0,24.03,0.89,0,0,1,2.0,1,1.0,1,2021/1/17,17:30:00,5,25.0,16.2
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,09:00:00,5,21.9,11.8
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,09:30:00,5,22.5,13.2
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,0.0,1,3.0,1,2021/1/17,10:00:00,5,22.8,14.1
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,0.0,0,3.0,1,2021/1/17,10:30:00,5,23.1,14.7
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,11:00:00,5,24.1,14.1
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,11:30:00,5,24.6,14.1
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,12:00:00,5,25.0,13.9
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,14:30:00,5,25.8,13.3
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,2.0,0,1.0,1,2021/1/17,15:00:00,5,25.4,14.3
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,2.0,0,1.0,1,2021/1/17,15:30:00,5,25.2,14.9
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,2.0,0,1.0,1,2021/1/17,16:00:00,5,25.2,15.3
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,1.0,1,2021/1/17,16:30:00,5,25.1,15.7
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,17:00:00,5,25.1,16.1
49,0,23,170.0,60.0,20.76,0.88,1,-1,1,1.0,1,2.0,1,2021/1/17,17:30:00,5,25.0,16.2
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,09:00:00,6,20.9,15.7
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,2.0,1,2.0,1,2021/1/17,09:30:00,6,21.4,17.4
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,2.0,1,2.0,1,2021/1/17,10:00:00,6,22.0,17.5
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,10:30:00,6,22.3,16.9
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,11:00:00,6,25.3,14.4
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,11:30:00,6,25.8,13.8
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,12:00:00,6,26.3,13.3
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,2.0,0,1.0,1,2021/1/17,14:30:00,6,27.3,11.6
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,1.0,1,2021/1/17,15:00:00,6,25.5,13.8
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,15:30:00,6,25.3,14.2
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,16:00:00,6,25.4,14.4
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,16:30:00,6,25.3,14.3
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,17:00:00,6,25.2,14.6
53,1,22,180.0,70.0,21.6,-0.03,1,-1,0,1.0,1,2.0,1,2021/1/17,17:30:00,6,24.9,14.7
